epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.79998,1.83162,5.35722,0.50115,3.58276,1.41748,0.27639,0.91071,0.34186,0.2071,0.09482,0.60119,0.11586,0.04159,1.45713,5.35915,0.4997,3.95114,1.1549,3.334e-05,3.334e-05,3.334e-05
2,5.76075,1.80869,5.60117,0.49887,3.67649,1.45077,0.28027,0.92024,0.34533,0.21015,0.09595,0.56429,0.11092,0.04025,1.44913,5.31732,0.49204,3.76288,1.15687,8.32675e-05,8.32675e-05,8.32675e-05
3,8.39167,1.68999,5.12957,0.48607,3.09866,1.40404,0.22516,0.94405,0.36843,0.22828,0.0925,0.60714,0.103,0.0325,1.4182,5.17606,0.46344,3.07809,1.16788,0.000133096,0.000133096,0.000133096
4,10.5498,1.67977,5.36555,0.45438,2.45279,1.35907,0.40018,0.76302,0.39445,0.24306,0.1894,0.47143,0.11996,0.03219,1.43514,5.09195,0.4327,2.28506,1.20193,0.000182825,0.000182825,0.000182825
5,11.6956,1.64273,5.13815,0.42568,1.8515,1.29278,0.31105,0.5869,0.44921,0.25696,0.15447,0.30714,0.12498,0.05187,1.48803,4.8311,0.33338,1.28192,1.28891,0.000232456,0.000232456,0.000232456
6,12.8063,1.71098,4.853,0.4226,1.53623,1.38049,0.38943,0.42857,0.46634,0.26248,0.71515,0.21223,0.13245,0.05922,1.47571,4.759,0.29102,1.43451,1.26871,0.000281987,0.000281987,0.000281987
7,13.9427,1.66286,4.82031,0.42533,1.39626,1.33493,0.38625,0.46893,0.46534,0.27197,0.1923,0.24286,0.12745,0.05515,1.40016,4.76913,0.27483,1.49836,1.19543,0.00033142,0.00033142,0.00033142
8,15.0252,1.61726,4.53922,0.39671,1.23495,1.33219,0.89068,0.45948,0.46537,0.27413,0.69674,0.22381,0.12896,0.05387,1.39185,4.77973,0.26938,1.52089,1.17677,0.000380753,0.000380753,0.000380753
9,16.1593,1.68645,4.7047,0.40685,1.20449,1.26837,0.912,0.48095,0.47095,0.26906,0.70777,0.24286,0.1321,0.05307,1.41874,4.77511,0.26172,1.52932,1.17068,0.000429987,0.000429987,0.000429987
10,17.2182,1.56794,4.53044,0.40025,1.19293,1.27049,0.91243,0.47096,0.47009,0.266,0.7069,0.23333,0.12508,0.04868,1.41425,4.77029,0.26388,1.54694,1.16072,0.000479123,0.000479123,0.000479123
11,18.3257,1.62109,4.34503,0.43748,1.14417,1.39344,0.90851,0.45238,0.47631,0.27204,0.71053,0.23205,0.12599,0.04724,1.41819,4.75552,0.26054,1.57012,1.16575,0.000528159,0.000528159,0.000528159
12,19.3695,1.51264,4.51151,0.39825,1.2217,1.22842,0.89869,0.46851,0.48566,0.27621,0.70341,0.23842,0.12483,0.04601,1.41259,4.74482,0.25965,1.51064,1.1671,0.000577096,0.000577096,0.000577096
13,20.4458,1.48157,4.36185,0.37803,0.98959,1.22987,0.92228,0.46571,0.49682,0.28957,0.73038,0.2381,0.15208,0.05226,1.41062,4.68669,0.25996,1.22544,1.15129,0.000625934,0.000625934,0.000625934
14,21.5368,1.55784,4.15221,0.38113,1.32363,1.19022,0.9233,0.47619,0.49609,0.29121,0.7362,0.22857,0.1543,0.05571,1.39632,4.6195,0.26246,1.13533,1.14924,0.000674674,0.000674674,0.000674674
15,22.6518,1.54603,4.14449,0.3912,1.00933,1.25692,0.40738,0.46081,0.48813,0.27769,0.75151,0.25238,0.16781,0.06992,1.41766,4.36193,0.27647,1.05444,1.16699,0.000723314,0.000723314,0.000723314
16,23.7423,1.54026,4.10535,0.40497,1.08649,1.21926,0.41566,0.44589,0.49079,0.2838,0.75159,0.25714,0.18223,0.07641,1.42014,4.2889,0.28119,1.03311,1.1538,0.000771855,0.000771855,0.000771855
